21:03:53 | rss_kb=1473008 | Index:   building|Memory:  1.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 28m 43s)|busy:        delta (running 0h 24m 58s)
21:04:09 | rss_kb=3979600 | Index:   building|Memory:  4.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 28m 58s)|busy:        delta (running 0h 25m 14s)
21:04:24 | rss_kb=12166432 | Index:   building|Memory:  11.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 29m 13s)|busy:        delta (running 0h 25m 29s)
21:04:39 | rss_kb=7607232 | Index:   building|Memory:  7.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 29m 28s)|busy:        delta (running 0h 25m 44s)
21:04:54 | rss_kb=10039888 | Index:   building|Memory:  9.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 29m 43s)|busy:        delta (running 0h 25m 59s)
21:05:09 | rss_kb=12122288 | Index:   building|Memory:  11.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 29m 58s)|busy:        delta (running 0h 26m 14s)
21:05:24 | rss_kb=10963744 | Index:   building|Memory:  10.8 GB (peak 19.6 GB)|busy:        warm-build (running 0h 30m 14s)|busy:        delta (running 0h 26m 29s)
21:05:39 | rss_kb=7061216 | Index:   building|Memory:  6.5 GB (peak 19.6 GB)|busy:        warm-build (running 0h 30m 29s)|busy:        delta (running 0h 26m 45s)
21:05:55 | rss_kb=10018928 | Index:   building|Memory:  9.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 30m 44s)|busy:        delta (running 0h 27m 0s)
21:06:10 | rss_kb=7886928 | Index:   building|Memory:  7.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 30m 59s)|busy:        delta (running 0h 27m 15s)
21:06:25 | rss_kb=9971984 | Index:   building|Memory:  9.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 31m 14s)|busy:        delta (running 0h 27m 30s)
21:06:40 | rss_kb=7639152 | Index:   building|Memory:  7.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 31m 29s)|busy:        delta (running 0h 27m 45s)
21:06:55 | rss_kb=10264448 | Index:   building|Memory:  9.8 GB (peak 19.6 GB)|busy:        warm-build (running 0h 31m 45s)|busy:        delta (running 0h 28m 0s)
21:07:10 | rss_kb=10402176 | Index:   building|Memory:  10.2 GB (peak 19.6 GB)|busy:        warm-build (running 0h 32m 0s)|busy:        delta (running 0h 28m 16s)
21:07:26 | rss_kb=7793008 | Index:   building|Memory:  7.2 GB (peak 19.6 GB)|busy:        warm-build (running 0h 32m 15s)|busy:        delta (running 0h 28m 31s)
21:07:41 | rss_kb=11801440 | Index:   building|Memory:  11.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 32m 30s)|busy:        delta (running 0h 28m 46s)
21:07:56 | rss_kb=10898144 | Index:   building|Memory:  10.7 GB (peak 19.6 GB)|busy:        warm-build (running 0h 32m 45s)|busy:        delta (running 0h 29m 1s)
21:08:11 | rss_kb=7973728 | Index:   building|Memory:  7.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 33m 0s)|busy:        delta (running 0h 29m 16s)
21:08:26 | rss_kb=11162160 | Index:   building|Memory:  10.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 33m 16s)|busy:        delta (running 0h 29m 31s)
21:08:41 | rss_kb=7822448 | Index:   building|Memory:  7.2 GB (peak 19.6 GB)|busy:        warm-build (running 0h 33m 31s)|busy:        delta (running 0h 29m 47s)
21:08:57 | rss_kb=10210064 | Index:   building|Memory:  9.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 33m 46s)|busy:        delta (running 0h 30m 2s)
21:09:12 | rss_kb=11708096 | Index:   building|Memory:  11.2 GB (peak 19.6 GB)|busy:        warm-build (running 0h 34m 1s)|busy:        delta (running 0h 30m 17s)
21:09:27 | rss_kb=8089008 | Index:   building|Memory:  7.7 GB (peak 19.6 GB)|busy:        warm-build (running 0h 34m 16s)|busy:        delta (running 0h 30m 32s)
21:09:42 | rss_kb=10035456 | Index:   building|Memory:  9.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 34m 31s)|busy:        delta (running 0h 30m 47s)
21:09:57 | rss_kb=7080672 | Index:   building|Memory:  6.8 GB (peak 19.6 GB)|busy:        warm-build (running 0h 34m 47s)|busy:        delta (running 0h 31m 2s)
